prompt_processed,A_processed,B_processed,C_processed,D_processed,E_processed,answer
typical vertebra,vertebral foramen pass body,superior articular process project downward articulate superior portion next lower vertebra,lamina span transverse process spinous process,pair laterally projecting spinous process,superior articular process project downward articulate superior portion next lower vertebra,C
document show cost direct material direct labor overhead applied specific job,job cost sheet,purchase order,material requisition form,receiving document,material requisition form,A
form alternative dispute resolution adr include following except one,mediation,settlement,litigation,arbitration,mediation,C
selfconcept refer,level confidence ability,thought feeling,belief control outcome,belief outcome outside control,belief control outcome,B
made proposal prohibit importation enslaved people missouri following admission united state,john c calhoun,henry clay,james tallmadge,john quincy adam,john quincy adam,C
following used control american dissent war effort,propaganda campaign,repressive legislation,national civil liberty bureau,loyalty league,loyalty league,C
fixed cost increase variable remain unchanged contribution margin,remain unchanged,increase,decrease,increase variable cost per unit,remain unchanged,C
abnormality number x chromosome tend milder phenotypic effect abnormality autosome,deletion,nonhomologous recombination,synapsis,x inactivation,nonhomologous recombination,D
blood vessel enters cranium supply brain fresh oxygenated blood,common carotid artery,jugular vein,internal carotid artery,aorta,common carotid artery,C
following bacterial specie classified high gc grampositive,corynebacterium diphtheriae,staphylococcus aureus,bacillus anthracis,streptococcus pneumonia,streptococcus pneumonia,A
material price variance favorable,actual quantity used greater standard quantity,actual quantity used less standard quantity,actual price paid greater standard price,actual price less standard price,actual price paid greater standard price,D
isare component virus isare extended envelope attachment,capsomeres,spike,nucleic acid,viral whisker,viral whisker,B
important cause adult onset epilepsy,neurocysticercosis,neurotoxoplasmosis,primary amoebic meningoencephalitis,african trypanosomiasis,neurotoxoplasmosis,A
following reason make voter registration difficult,increase voter turnout,decrease election fraud,decrease cost election,make registration process faster,increase voter turnout,B
cubozoans,polyp,medusoid,polymorph,sponge,sponge,C
following involved initiation replication,ligase,dna gyrase,singlestranded binding protein,primase,dna gyrase,A
order pursue goal using american influence overseas moral imperative wilson put man position secretary state,charles hughes,theodore roosevelt,william jennings bryan,john pershing,charles hughes,C
convicted sexual offender released parole arrested two week later repeated sexual crime would labeling theory explain,offender labeled deviant society accepted new master status,offender returned old neighborhood reestablished former habit,offender lost social bond made prison feel disconnected society,offender poor responding different cultural value exist community,offender lost social bond made prison feel disconnected society,A
hypothalamus functionally anatomically connected posterior pituitary lobe bridge,blood vessel,nerve axon,cartilage,bone,cartilage,B
assortative mating,individual mate similar,individual mate dissimilar,individual mate fit population,individual mate least fit population,individual mate least fit population,A
best describes result case study,produce reliable result method depth,result generally applicable,relies solely secondary data analysis,,,B
following practice illegal,picketing,strike clause,sitdown strike,secure shop,picketing,C
study group 10yearold boy fed doughnut every morning week weighed see much weight gained factor dependent variable,doughnut,boy,duration week,weight gained,duration week,D
following stored body,thiamine,phosphorous,folic acid,vitamin c,folic acid,B
industry like control destiny result prefer selfregulation law imposed government selfregulation often following,based external code conduct,enforced court,conflict common law,less costly firm government regulation,conflict common law,D
following cell type form inside plant,meristem cell,collenchyma cell,sclerenchyma cell,parenchyma cell,sclerenchyma cell,D
universal bank idea image concept passed generation ancestor refer,archetype,intuition,collective unconscious,personality type,intuition,C
symbiotic relationship called coexisting specie benefit interaction,commensalism,parasitism,mutualism,communism,parasitism,C
sound pitch measured volume measured,nanometer nm decibel db,decibel db nanometer nm,decibel db hertz hz,hertz hz decibel db,decibel db hertz hz,D
inherited specific combination determines organism trait,cell,gene,protein,chromatid,protein,B
following describes feature perpetual inventory system,technology normally used record inventory change,merchandise bought recorded purchase,adjusting journal entry required year end match physical count asset account,inventory updated end period,adjusting journal entry required year end match physical count asset account,A
following associated longterm parental care,offspring,many offspring,semelparity,fecundity,semelparity,A
large muscle group attache leg pelvic girdle produce extension hip joint,gluteal,obturator,adductor,abductor,adductor,A
hormone stop acid secretion stomach,gastrin,somatostatin,gastric inhibitory peptide,cck,gastric inhibitory peptide,B
poverty rate elderly today united state,lower point history,increasing,decreasing,general population,general population,B
ada accommodation significantly expensive,court may rule reasonable,court may rule must provided anyway,eeoc guideline apply,federal government must subsidize expense,federal government must subsidize expense,A
percentage american household samesex couple household,1,10,15,30,30,A
reformer speak bureaucratic privatization following mean,divestiture,government grant,whistleblowing,thirdparty financing,thirdparty financing,C
denomination christian protestant church,catholic jewish,jehovah witness presbyterian,scientology hare krishna,methodist seventhday adventist,scientology hare krishna,D
part meiosis similar mitosis,meiosis,anaphase,meiosis ii,interkinesis,interkinesis,C
specie frequently associated nosocomial infection transmitted via medical device inserted body,staphylococcus epidermidis,streptococcus pyogenes,proproniobacterium acne,bacillus anthracis,bacillus anthracis,A
deficit,overall amount owed government past borrowing,annual budget shortfall revenue expenditure,cancellation entitlement program,,overall amount owed government past borrowing,B
rna component ribosome synthesized,cytoplasm,nucleus,nucleolus,endoplasmic reticulum,endoplasmic reticulum,C
key advantage decentralized organization,increased administrative cost,quicker decision response time,ease aligning segment company goal,duplication effort,ease aligning segment company goal,B
business charged crime,hotel guest,cousin cousin,school principal student,hotel guest school principal student,cousin cousin,D
part neuron transmits electrical signal target cell,dendrite,soma,cell body,axon,dendrite,D
lambdoid suture join parietal bone following,frontal bone,occipital bone,parietal bone,temporal bone,parietal bone,B
buffer adjusted control acidbase balance,plasma protein,hemoglobin,phosphate buffer,bicarbonate carbonic acid buffer,plasma protein,D
following false accounting information system,provide report people analyze,prevent error stop employee stealing inventory,designed gather data company transaction,consist process involve input data source document processing output storage,consist process involve input data source document processing output storage,B
bacteria lack fimbria less likely,adhere cell surface,swim bodily fluid,synthesize protein,retain ability divide,synthesize protein,A
high rate complicate longitudinal research,deception,observation,attrition,generalization,generalization,C
field social psychology focus predicting human behavior,personality trait,genetic predisposition,biological force,situational factor,genetic predisposition,D
personality assessment employ series truefalse question,minnesota multiphasic personality inventory mmpi,thematic apperception test tat,rotter incomplete sentence blank risb,myersbriggs type indicator mbti,myersbriggs type indicator mbti,A
concept people choose move place compatible personality need,selective migration,personal oriented personality,socially oriented personality,individualism,socially oriented personality,A
following refers type interaction two prokaryotic population one population benefit affected,mutualism,commensalism,parasitism,neutralism,mutualism,B
following combination would likely contribute development superinfection,longterm use narrowspectrum antimicrobial,longterm use broadspectrum antimicrobial,shortterm use narrowspectrum antimicrobial,shortterm use broadspectrum antimicrobial,shortterm use broadspectrum antimicrobial,B
following organism likely diploblast,sea star,shrimp,jellyfish,insect,insect,C
oncogenic virus core,rna,dna,neither rna dna,either rna dna,neither rna dna,D
following commercially important fermentation product,ethanol,pyruvate,butanol,penicillin,ethanol,B
receives incoming signal neuron,soma,terminal button,myelin sheath,dendrite,myelin sheath,D
revenue expense must recorded accounting period earned incurred matter cash receipt outlay occur following accounting method,accrual basis accounting,cash basis accounting,tax basis accounting,revenue basis accounting,tax basis accounting,A
lobe contains visual cortex,frontal,parietal,temporal,occipital,temporal,D
concept iron cage popularized following sociological thinker,max weber,karl marx,émile durkheim,friedrich engels,karl marx,A
monosaccharide may link together form polysaccharide forming type bond,hydrogen,peptide,ionic,glycosidic,ionic,D
purpose tea act 1773,punish colonist boycotting british tea,raise revenue offset british national debt,help revive struggling east india company,pay salary royal appointee,punish colonist boycotting british tea,C
elimination selfreactive thymocytes called,positive selection,negative selection,tolerance,clonal selection,positive selection,B
law chemistry determines much energy transferred converted one form another,first law thermodynamics,second law thermodynamics,conservation matter,conservation energy,conservation energy,B
factor make class system open,allow movement class,people openminded,people encouraged socialize within class,clearly defined layer,people encouraged socialize within class,A
owner personal liability legal business structure,corporation,partnership,sole proprietorship,liability every legal business structure,sole proprietorship,A
following natural force responsible release carbon dioxide atmospheric gas,milankovitch cycle,volcano,solar intensity,burning fossil fuel,solar intensity,B
cause viral gastroenteritis commonly cause projectile vomiting,hepatitisvirus,astroviruses,rotavirus,noroviruses,rotavirus,D
likely expressive leader,sale manager fastgrowing cosmetic company,high school teacher reform school,director summer camp chronically ill child,manager fastfood restaurant,sale manager fastgrowing cosmetic company,C
organelle phagocyte use digest engulfed particle,lysosome,nucleus,endoplasmic reticulum,mitochondrion,endoplasmic reticulum,A
newly discovered hormone contains four amino acid linked together chemical class would hormone classified,lipidderived hormone,amino acidderived hormone,peptide hormone,glycoprotein,lipidderived hormone,C
following play role intracellular movement,microfilaments intermediate filament,microfilaments microtubule,intermediate filament microtubule,intermediate filament,intermediate filament microtubule,D
delegate constitutional convention resolve disagreement regarding slavery,agreed congress would abolish slavery 1850,agreed state slave population would counted purpose representation purpose taxation,agreed state slave population would counted purpose taxation purpose representation,agreed 60 percent state slave population would counted purpose representation taxation,agreed state slave population would counted purpose taxation purpose representation,D
following correct cable programming,local,national,network,sport,sport,B
kind growth curve specie limited resource usually exhibit,logistic,logical,experimental,exponential,exponential,A
neuron fire action potential must membrane reach,hyperpolarization,threshold excitation,refractory period,inhibitory postsynaptic potential,inhibitory postsynaptic potential,B
statement false,asset liability equity,asset liability equity,liability equity asset,liability asset equity,asset liability equity,C
gastric emptying chyme released duodenum,esophageal hiatus,pyloric antrum,pyloric canal,pyloric sphincter,esophageal hiatus,D
would paralysis diaphragm alter inspiration,would prevent contraction intercostal muscle,would prevent inhalation intrapleural pressure would change,would decrease intrapleural pressure allow air enter lung,would slow expiration lung would relax,would prevent contraction intercostal muscle,B
reason critic oppose globalization,positive impact world trade,negative impact environment,concentration wealth poorest country,negative impact political stability,positive impact world trade,B
civil service reform act 1978 creat besides office personnel management,civil service commission,merit system protection board,spoil system,general schedule,spoil system,B
difference equity financing debt financing,equity financing involves borrowing money,equity financing involves selling part company,debt financing involves selling part company,debt financing mean company debt,debt financing involves selling part company,B
happens membrane vesicle exocytosis,leaf cell,disassembled cell,fuse becomes part plasma membrane,used another exocytosis event,used another exocytosis event,C
plant specie complete lifecycle one season known,biennial,perennial,annual,polycarpic,polycarpic,C
following correct organizational chart,list salary employee,outline strategic goal organization,show structure organization,help management measure financial performance,outline strategic goal organization,C
following pair increase credit entry,supply retained earnings,rent expense unearned revenue,prepaid rent common stock,unearned service revenue account payable,rent expense unearned revenue,D
lateralmost carpal bone proximal row,trapezium,hamate,pisiform,scaphoid,pisiform,D
following disease caused helminth,leishmaniasis,malaria,chaga disease,schistosomiasis,malaria,D
common type biological vector human disease,virus,bacteria,mammal,arthropod,mammal,D
lymphoid nodule likely see food antigen first,tonsil,peyers patch,bronchusassociated lymphoid tissue,mucosaassociated lymphoid tissue,bronchusassociated lymphoid tissue,A
transcendentalist concerned,afterlife,predestination,individual,democracy,afterlife,C
religious community focused power patriarchy,shaker,mormon,owenites,rappites,mormon,A
representative organization give money another business official order gain favor andor manipulate business decision known,whistleblowing,bribery,buyer debit,face value,face value,B
following correct linkage analysis,used create physical map,based natural recombination process,requires radiation hybrid mapping,involves breaking rejoining dna artificially,involves breaking rejoining dna artificially,A
following account increase debit entry,retained earnings,building,prepaid rent,electricity expense,electricity expense,A
following prevented vaccine,tetanus,pneumococcal meningitis,meningococcal meningitis,listeriosis,pneumococcal meningitis,D
following found compact bone cancellous bone,haversian system,haversian canal,lamella,lacuna,haversian system,C
form government small group elite people hold political power,direct democracy,monarchy,oligarchy,totalitarian,totalitarian,B
term applies egg development outside female nourishment derived yolk,oviparity,viviparity,ovoviparity,ovovoparity,ovoviparity,A
following would tdependent antigen,lipopolysaccharide,glycolipid,protein,carbohydrate,carbohydrate,C
following decrease owner equity,investment owner,loss,gain,shortterm loan,shortterm loan,B
decrease progesterone last week pregnancy help bring labor,stimulating fsh production,decreasing level estrogen,dilating cervix,decreasing inhibition uterine contractility,decreasing level estrogen,D
variance difference involving spending using standard amount,favorable variance,unfavorable variance,variance,variance,variance,B
function national labor relation board,monitor conduct union employer union election,remedy prevent unfair labor practice union employer,establish rule interpreting nlra,,,C
function raphe diatom,locomotion,defense,capturing food,photosynthesis,capturing food,A
force selective uptake mineral root,pericycle,epidermis,endodermis,root cap,pericycle,C
senate race tend inspire,broad discussion policy issue,narrow discussion specific policy issue,less money house race,less medium coverage house race,narrow discussion specific policy issue,A
research indicates individual aware sexual orientation,infancy,early adolescence,early adulthood,late adulthood,infancy,B
budget starting point preparing financial budget,budgeted income statement,budgeted balance sheet,capital expense budget,cash receipt budget,capital expense budget,A
popularization expanded communication sport industry,radio,talkie,model,airplane,talkie,A
following valid defense title vii,president,judicial branch,constitution,congress,judicial branch,D
main difference ecclesia denomination,number follower believer much larger denomination,geographical location varies ecclesia versus denomination,ecclesia statesponsored considered official religion,important difference term interchangeable,geographical location varies ecclesia versus denomination,C
may meditation helpful,pain management,stress control,treating flu,b,pain management,D
virus spread mouse urine feces,epsteinbarr,hantavirus,human immunodeficiency virus,cytomegalovirus,epsteinbarr,B
type socialism carried russia,centrally planned,market,utopian,zerosum,centrally planned,B
following best example role peer play agent socialization schoolaged child,child act however wish around peer child unaware gender role,peer serve support system child wish act outside assigned gender role,peer tend reinforce gender role criticizing marginalizing behave outside assigned role,none,none,C
following example secondary growth,increase length,increase thickness girth,increase root hair,increase leaf number,increase length,B
net filtration pressure calculated,adding capillary hydrostatic pressure interstitial fluid hydrostatic pressure,subtracting fluid drained lymphatic vessel total fluid interstitial fluid,adding blood colloid osmotic pressure capillary hydrostatic pressure,subtracting blood colloid osmotic pressure capillary hydrostatic pressure,subtracting fluid drained lymphatic vessel total fluid interstitial fluid,D
following constantly shed dead cell along microbe may attached cell,epidermis,dermis,hypodermis,mucous membrane,dermis,A
following function axial skeleton,allows movement wrist hand,protects nerve blood vessel elbow,support trunk body,allows movement ankle foot,allows movement ankle foot,C
type fibrous joint connects tibia fibula,syndesmosis,symphysis,suture,gomphosis,gomphosis,A
following individual argued favor theory spontaneous generation,francesco redi,louis pasteur,john needham,lazzaro spallanzani,francesco redi,C
selfregulation also known,selfefficacy,power,internal locus control,external locus control,selfefficacy,B
following goal stamp act,gain control colonist,raise revenue british troop stationed colony,raise revenue pay british debt french indian war,declare null void law colony passed govern tax,raise revenue british troop stationed colony,D
effect cash current noncash operating asset decrease,cash increase amount,cash decrease amount,cash decrease twice much,cash change,cash change,A
following give rise skin cell,ectoderm,endoderm,mesoderm,none,endoderm,A
decides business ethic company,labor,business transaction,property dispute,tort,labor,D
following anterior pituitary hormone,adh,oxytocin,tsh,cortisol,cortisol,C
operon encoding gene transcribed translated continuously provide cell constant intermediate level protein product said following,repressible,inducible,constitutive,activated,activated,C
following many american begin doubt war vietnam could,khe sanh,dien bien phu,tonkin gulf incident,tet offensive,khe sanh,D
big data mined,find business trend,record transaction,alternative creating accounting information system,alternative darknet,record transaction,A
effect cash current liability decrease,cash increase amount,cash decrease amount,cash decrease twice much,cash change,cash decrease twice much,B
following considered illegal clayton act,price discrimination,exclusive dealing contract,corporate merger,,corporate merger,D
leprosy primarily transmitted person person,contaminated toilet seat,shaking hand,blowing nose,sexual intercourse,shaking hand,C
significance cumberland road,gave settler quicker way move west,reduced time took move good new york harbor lake erie,improved trade port new orleans,first paved road,reduced time took move good new york harbor lake erie,A
program recruit mexican agricultural worker world war ii,bracero program,maquiladora program,brazzos program,campesino program,maquiladora program,A
central fiber tract connects forebrain brain stem structure hypothalamus,cardiac accelerator nerve,medial forebrain bundle,dorsal longitudinal fasciculus,corticospinal tract,dorsal longitudinal fasciculus,B
following scenario example intergenerational mobility,janitor belongs social class grandmother,executive belongs different class parent,editor share social class cousin,lawyer belongs different class sister,editor share social class cousin,B
theory likely look social world micro level,structural functionalism,conflict theory,positivism,symbolic interactionism,structural functionalism,D
cell secrete hormone,parietal cell,mucous neck cell,enteroendocrine cell,chief cell,mucous neck cell,C
valve separate left atrium left ventricle,mitral,tricuspid,pulmonary,aortic,pulmonary,A
agreement 196 nation adopt december 2015,oslo accord,paris climate agreement,kyoto agreement,copenhagen accord,oslo accord,B
clause u constitution relate international law,advertising limited time offer offer available forever,advertising going business company plan stay business,advertising product new product 6 month old,advertising buy one get one without informing consumer must buy another product service get deal,advertising going business company plan stay business,C
following qualitative decision considered outsourcing decision,employee morale,product quality,company reputation,relevant cost,product quality,D
megachurches tend,variety male female clergy,numerous building meet,high attendance limited time,large arena service held,high attendance limited time,D
following especially important developing maintaining employee loyalty brand,empowerment,engagement,commitment,dedication,commitment,A
standard set level could achieved everything ran perfectly,ideal standard,attainable standard,unattainable standard,variance standard,variance standard,A
hormone produced beta cell pancreas,t3,glucagon,insulin,t4,glucagon,C
student car accident although hurt immediately experience pupil dilation increased heart rate rapid breathing type endocrine system stimulus student receive,humoral,hormonal,neural,positive feedback,hormonal,C
ligandgated channel require order open,increase concentration na ion,binding neurotransmitter,increase concentration k ion,depolarization membrane,increase concentration k ion,B
following statement incorrect,practice management accounting fairly flexible,information gathered management accounting required law,management accounting focus mainly internal user,report produced using management accounting must follow gaap,practice management accounting fairly flexible,D
emerging disease case focus intense scrutiny,tend deadly,increasing therefore controlled,naturally higher transmission rate,occur developed country,occur developed country,B
following trait characterizes gymnosperm,plant carry exposed seed modified leaf,reproductive structure located flower,fertilization ovary thickens form fruit,gametophyte longest phase life cycle,gametophyte longest phase life cycle,A
following occur lag period primary antibody response,activation helper cell,class switching igg,presentation antigen mhc ii,binding antigen bcrs,activation helper cell,B
following group supported abolition slavery,northern business elite,southern planter elite,wage worker,middleclass northerner,southern planter elite,D
following paradigm would consider movement occupy wall street undesirable unnecessarily forcing social change,symbolic interactionism,functionalism,feminism,conflict theory,conflict theory,B
corporate insider include officer director beneficial owner many class security registered section 12 security exchange act 1934,5,10,15,20,15,B
moss grow well arctic tundra,grow better cold temperature,require moisture,true root grow hard surface,herbivore tundra,require moisture,C
system direct primary replace,candidate selection secret ballot,candidate selection machine boss,candidate selection convention delegate,indirect primary,indirect primary,C
stock issued except following,account payable,state income tax payment,property delivery truck,service provided corporation legal fee,account payable,B
would high blood pressure result,high cardiac output high peripheral resistance,high cardiac output low peripheral resistance,low cardiac output high peripheral resistance,low cardiac output low peripheral resistance,low cardiac output low peripheral resistance,A
stoma open occurs,water vapor lost external environment increasing rate transpiration,water vapor lost external environment decreasing rate transpiration,water vapor enters space mesophyll increasing rate transpiration,water vapor enters space mesophyll increasing rate transpiration,water vapor lost external environment decreasing rate transpiration,A
process accounting cycle often requires analytical thought,making journal entry,posting transaction account,summarizing trial balance,preparing financial statement,making journal entry,C
kirbybauer disk diffusion test zone inhibition measured used interpretation,diameter,microbial population,circumference,depth,circumference,A
fracture,open closed,open transverse,transverse greenstick,greenstick comminuted,greenstick comminuted,B
primary cause bacon rebellion,former indentured servant wanted opportunity expand territory,enslaved african wanted better treatment,susquahannock native wanted jamestown settler pay fair price land,jamestown politician jockeying power,enslaved african wanted better treatment,A
following example retailer,electronics store,grocery store,car dealership,computer manufacturer,jewelry store,D
chamber initially receives blood systemic circuit,left atrium,left ventricle,right atrium,right ventricle,left atrium,C
school prepare child one day enter workforce,standardized curriculum,hidden curriculum,socializing teamwork,,standardized curriculum,D
